titre|annee|duree|genre|tomatometer|audience_score|url_tomatoes
The Shawshank Redemption|1994|142|Drama|91|98|https://www.rottentomatoes.com/m/shawshank_redemption
The Godfather|1972|175|Crime, Drama|97|98|https://www.rottentomatoes.com/m/godfather
The Dark Knight|2008|152|Action, Crime, Drama|94|94|https://www.rottentomatoes.com/m/the_dark_knight
The Godfather: Part II|1974|202|Crime, Drama|96|97|https://www.rottentomatoes.com/m/godfather_part_ii
12 Angry Men|1957|96|Crime, Drama|100|97|https://www.rottentomatoes.com/m/1000013_12_angry_men
The Lord of the Rings: The Return of the King|2003|201|Action, Adventure, Drama|93|86|https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king
Pulp Fiction|1994|154|Crime, Drama|92|96|https://www.rottentomatoes.com/m/pulp_fiction
Schindler's List|1993|195|Biography, Drama, History|98|97|https://www.rottentomatoes.com/m/schindlers_list
Inception|2010|148|Action, Adventure, Sci-Fi|87|91|https://www.rottentomatoes.com/m/inception
Fight Club|1999|139|Drama|79|96|https://www.rottentomatoes.com/m/fight_club
The Lord of the Rings: The Fellowship of the Ring|2001|178|Action, Adventure, Drama|91|95|https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring
Forrest Gump|1994|142|Drama, Romance|71|95|https://www.rottentomatoes.com/m/forrest_gump
The Good, the Bad and the Ugly|1966|178|Western|||
The Lord of the Rings: The Two Towers|2002|179|Action, Adventure, Drama|95|95|https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers
The Matrix|1999|136|Action, Sci-Fi|88|85|https://www.rottentomatoes.com/m/matrix
Goodfellas|1990|146|Biography, Crime, Drama|96|97|https://www.rottentomatoes.com/m/1032176-goodfellas
Star Wars: Episode V - The Empire Strikes Back|1980|124|Action, Adventure, Fantasy|94|97|https://www.rottentomatoes.com/m/star_wars_the_empire_strikes_back
One Flew Over the Cuckoo's Nest|1975|133|Drama|94|96|https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest
Parasite|2019|132|Comedy, Drama, Thriller|98|90|https://www.rottentomatoes.com/m/parasite_2019
Interstellar|2014|169|Adventure, Drama, Sci-Fi|72|86|https://www.rottentomatoes.com/m/interstellar_2014
City of God|2002|130|Crime, Drama|91|97|https://www.rottentomatoes.com/m/city_of_god
Spirited Away|2001|125|Animation, Adventure, Family|97|96|https://www.rottentomatoes.com/m/spirited_away
Saving Private Ryan|1998|169|Drama, War|93|95|https://www.rottentomatoes.com/m/saving_private_ryan
The Green Mile|1999|189|Crime, Drama, Fantasy|78|94|https://www.rottentomatoes.com/m/green_mile
Life Is Beautiful|1997|116|Comedy, Drama, Romance|80|96|https://www.rottentomatoes.com/m/1084398-life_is_beautiful
Se7en|1995|127|Crime, Drama, Mystery|82|95|https://www.rottentomatoes.com/m/seven
The Silence of the Lambs|1991|118|Crime, Drama, Horror|96|95|https://www.rottentomatoes.com/m/silence_of_the_lambs
Star Wars: Episode IV - A New Hope|1977|121|Action, Adventure, Fantasy|92|96|https://www.rottentomatoes.com/m/star_wars_a_new_hope
Hara-Kiri|1962|133|Action, Drama, Mystery|||
Seven Samurai|1954|207|Action, Adventure, Drama|100|97|https://www.rottentomatoes.com/m/seven_samurai_1956
